,cell_type1,total_features,log10_total_features,total_counts,log10_total_counts,pct_counts_top_50_features,pct_counts_top_100_features,pct_counts_top_200_features,pct_counts_top_500_features,total_features_endogenous,log10_total_features_endogenous,total_counts_endogenous,log10_total_counts_endogenous,pct_counts_endogenous,pct_counts_top_50_features_endogenous,pct_counts_top_100_features_endogenous,pct_counts_top_200_features_endogenous,pct_counts_top_500_features_endogenous,total_features_feature_control,log10_total_features_feature_control,total_counts_feature_control,log10_total_counts_feature_control,pct_counts_feature_control,pct_counts_top_50_features_feature_control,total_features_ERCC,log10_total_features_ERCC,total_counts_ERCC,log10_total_counts_ERCC,pct_counts_ERCC,pct_counts_top_50_features_ERCC,is_cell_control
ME_4cell_2_A,4cell,13140,4.1186284152966,1165934,6.06667433950688,23.4749136743589,29.8086341079341,37.714227391945,51.2669670839001,13119,4.11793383503964,1165013,6.06633114432016,99.9210075355895,23.4934717466672,29.8321992973469,37.7440423411584,51.3074961395281,21,1.34242268082221,921,2.96473092105363,0.0789924644105069,100,21,1.34242268082221,921,2.96473092105363,0.0789924644105069,100,FALSE
ME_4cell_2_B,4cell,13422,4.12784959018764,1251393,6.09739406835515,22.3793005075144,29.2403745266275,37.6997474014958,51.9578581628633,13399,4.12710479836481,1250438,6.09706251045312,99.9236850453854,22.3963923041366,29.2627063476958,37.7285399196122,51.9975400619623,23,1.38021124171161,955,2.9804578922761,0.0763149546145775,100,23,1.38021124171161,955,2.9804578922761,0.0763149546145775,100,FALSE
ME_4cell_2_C,4cell,13122,4.11803312882857,904070,5.9562025385477,21.7404625748006,28.0077870076432,35.7410377515015,49.2234008428551,13104,4.11743702528262,903339,5.95585124126824,99.9191434291592,21.7580553922724,28.0304514694926,35.7699601146413,49.2632334040709,18,1.27875360095283,731,2.86451108105839,0.0808565708407535,100,18,1.27875360095283,731,2.86451108105839,0.0808565708407535,100,FALSE
ME_4cell_2_D,4cell,13352,4.12557884900218,1272369,6.10461342074022,20.6659388903691,26.908624777875,34.8759675848751,49.3162753886648,13329,4.12483014941386,1271704,6.10438637881964,99.9477352874834,20.6767455319791,26.9226958474614,34.8942049407724,49.3420638764996,23,1.38021124171161,665,2.8234742291703,0.0522647125165734,100,23,1.38021124171161,665,2.8234742291703,0.0522647125165734,100,FALSE
ME_4cell_3_A,4cell,13103,4.11740388441634,1196487,6.07790834727882,23.0478893627762,29.4417741270904,37.2733677841882,50.8038950694826,13082,4.11670734139309,1195447,6.07753068977491,99.9130788717303,23.0679402767333,29.4673875127881,37.305794401592,50.8480928054527,21,1.34242268082221,1040,3.01745072951054,0.0869211282696761,100,21,1.34242268082221,1040,3.01745072951054,0.0869211282696761,100,FALSE
ME_4cell_3_B,4cell,13319,4.12450422483428,1239377,6.09320378279042,22.2716735908444,28.745329306579,36.8698144309601,51.0960748827838,13297,4.12378632861537,1238527,6.09290582933771,99.9314171555548,22.2869586210071,28.7650572010138,36.8951181524505,51.1311420744158,22,1.36172783601759,850,2.92992956008459,0.0685828444452334,100,22,1.36172783601759,850,2.92992956008459,0.0685828444452334,100,FALSE
ME_4cell_3_C,4cell,12545,4.09850528320132,773462,5.88843954327111,24.7192492973152,30.7173461656811,38.5925876125782,51.9920823518156,12527,4.09788174471387,772781,5.88805699773493,99.9119543041546,24.7410327117256,30.7444153000656,38.6265966683964,52.0378994825183,18,1.27875360095283,681,2.83378437465648,0.0880456958454326,100,18,1.27875360095283,681,2.83378437465648,0.0880456958454326,100,FALSE
ME_4cell_3_D,4cell,13161,4.11932188646398,1077853,6.03255993776302,24.0797214462455,30.5705880115378,38.7948078262991,52.7319588107098,13137,4.11852925753174,1076837,6.03215037275204,99.9057385376299,24.1024407593721,30.5994314831307,38.8314108820555,52.7817116239505,24,1.39794000867204,1016,3.00732095292274,0.0942614623701006,100,24,1.39794000867204,1016,3.00732095292274,0.0942614623701006,100,FALSE
EM_4cell_1_A,4cell,14298,4.15530566615963,1690925,6.2281246019828,22.4844389904934,28.6996170734953,36.5871342608336,50.2335112438458,14274,4.15457611691789,1689458,6.22774765672659,99.9132427517483,22.5039628093744,28.7245376919698,36.6189038141226,50.2732237202701,24,1.39794000867204,1467,3.16672605558005,0.0867572482516966,100,24,1.39794000867204,1467,3.16672605558005,0.0867572482516966,100,FALSE
EM_4cell_1_B,4cell,13700,4.13675226632666,1196706,6.07798783139257,24.0736655452551,30.1456665212675,38.0424264606344,51.4725421281418,13681,4.13614958608853,1195607,6.07758881230922,99.9081645784345,24.0957940192722,30.1733763686563,38.077394996851,51.5073096761729,19,1.30102999566398,1099,3.04139268515822,0.0918354215655307,100,19,1.30102999566398,1099,3.04139268515822,0.0918354215655307,100,FALSE
EM_4cell_1_C,4cell,13730,4.13770216714696,1340719,6.12733808795454,24.1769528141244,30.5935844871297,38.7175836249057,52.8157652722159,13708,4.1370057764291,1339477,6.12693558501622,99.9073631387338,24.199370351264,30.6219517020449,38.7534836357773,52.8577198414008,22,1.36172783601759,1242,3.09447112864164,0.092636861266231,100,22,1.36172783601759,1242,3.09447112864164,0.092636861266231,100,FALSE
EM_4cell_1_D,4cell,13556,4.13216359605086,1228853,6.08950028747482,22.356294853819,28.6272646117965,36.7051225817897,50.808111303793,13534,4.13145826010653,1227976,6.08919023254894,99.9286326354739,22.3722613471273,28.6477097272259,36.7313367687968,50.8443976103767,22,1.36172783601759,877,2.9434945159061,0.0713673645261069,100,22,1.36172783601759,877,2.9434945159061,0.0713673645261069,100,FALSE
EM_4cell_2_A,4cell,13192,4.12034356243803,923885,5.96561838612774,22.4411046829421,28.6088636572734,36.7723255599994,50.7137793123603,13170,4.11961874975257,923226,5.965308497046,99.9286707761247,22.4571231746073,28.6292847038537,36.7985736970146,50.7499788784111,22,1.36172783601759,659,2.81954393554187,0.0713292238752659,100,22,1.36172783601759,659,2.81954393554187,0.0713292238752659,100,FALSE
EM_4cell_2_B,4cell,13769,4.13893394025692,1273919,6.105142155904,20.1543426230396,26.4289958780739,34.4560368437868,48.372227747604,13744,4.13814474417949,1273293,6.10492869260556,99.9508602980252,20.1642512760221,26.4419893928577,34.4729767618294,48.3960094023921,25,1.41497334797082,626,2.79726754083072,0.0491397019747723,100,25,1.41497334797082,626,2.79726754083072,0.0491397019747723,100,FALSE
EM_4cell_2_C,4cell,13601,4.13360277051016,1063237,6.02663048984532,22.2046448722157,27.9203978040644,35.3156445834748,48.5961267337386,13582,4.13299570069227,1062564,6.02635550651329,99.9367027294949,22.2187087083696,27.9380818473052,35.3380125808892,48.6269062381184,19,1.30102999566398,673,2.82865989653532,0.0632972705050708,100,19,1.30102999566398,673,2.82865989653532,0.0632972705050708,100,FALSE
EM_4cell_2_D,4cell,14099,4.14921911265538,1630144,6.2122262362439,24.2165722782773,30.0161826194496,37.2778110400063,50.2112696792431,14074,4.14844840352338,1628782,6.21186322784434,99.9164490989753,24.2368223617402,30.0412823815587,37.3089830314922,50.246073446293,25,1.41497334797082,1362,3.13449585583467,0.0835509010246948,100,25,1.41497334797082,1362,3.13449585583467,0.0835509010246948,100,FALSE
EM_4cell_3_A,4cell,14351,4.15691242570002,1528071,6.18414381789544,24.4069156472441,30.3523200165437,37.740720162872,50.8179266539317,14322,4.15603399192362,1526316,6.18364474138644,99.8851493157059,24.4349793882787,30.3872199465904,37.784115478053,50.8613550536062,29,1.47712125471966,1755,3.24452451157008,0.11485068429412,100,29,1.47712125471966,1755,3.24452451157008,0.11485068429412,100,FALSE
EM_4cell_3_B,4cell,14438,4.15953711639702,1923115,6.28400548113941,25.1850253364983,31.2131619793928,38.9421329457677,52.0926725650832,14416,4.158874898456,1920780,6.28347785111188,99.8785824040684,25.215641562282,31.2511063213903,38.9874946636262,52.1263236810046,22,1.36172783601759,2335,3.36847283844036,0.121417595931601,100,22,1.36172783601759,2335,3.36847283844036,0.121417595931601,100,FALSE
EM_4cell_3_C,4cell,13820,4.14053946697234,1326334,6.12265323015958,24.6713120526202,30.1928473521752,37.3231026272417,50.4464938695683,13796,4.1397846642937,1324800,6.12215064725958,99.8843428578322,24.6998792270531,30.2278079710145,37.3663194444444,50.4809027777778,24,1.39794000867204,1534,3.18610837981321,0.11565714216781,100,24,1.39794000867204,1534,3.18610837981321,0.11565714216781,100,FALSE
EM_4cell_3_D,4cell,14443,4.15968747975479,1996314,6.30022907000152,20.765971685817,26.4530028843158,33.9341406211648,48.0470006221466,14423,4.15908571371435,1994175,6.29976348519716,99.8928525272076,20.7882457657929,26.4813770105432,33.9705391954066,48.0851479935312,20,1.32221929473392,2139,3.33041377334919,0.107147472792356,100,20,1.32221929473392,2139,3.33041377334919,0.107147472792356,100,FALSE
MM_4cell_1_A,4cell,13793,4.13969022165292,1097694,6.0404816859997,22.3050321856547,27.7142810291393,34.8760219150328,47.8200664301709,13769,4.13893394025692,1096812,6.04013258929678,99.9196497384517,22.3229687494302,27.7365674336167,34.9040674244994,47.8585208768686,24,1.39794000867204,882,2.94596070357757,0.0803502615483003,100,24,1.39794000867204,882,2.94596070357757,0.0803502615483003,100,FALSE
MM_4cell_1_B,4cell,13875,4.14226429117002,1077700,6.03249828583965,22.2097058550617,27.538832699267,34.586712443166,47.7894590331261,13856,4.14166921696621,1077090,6.03225239701044,99.9433979771736,22.2222841173904,27.5544290634952,34.6063003091664,47.816524153042,19,1.30102999566398,610,2.78604121024255,0.0566020228263895,100,19,1.30102999566398,610,2.78604121024255,0.0566020228263895,100,FALSE
MM_4cell_1_C,4cell,13912,4.14342078512994,1323587,6.12175282107666,22.6189136037148,28.4585750691114,35.9785189791075,49.402797096073,13886,4.14260843550247,1322698,6.12146102520649,99.9328340335769,22.6341160264853,28.4777023931389,36.0027005408642,49.436001264083,26,1.43136376415899,889,2.94939000664491,0.067165966423061,100,26,1.43136376415899,889,2.94939000664491,0.067165966423061,100,FALSE
MM_4cell_1_D,4cell,13722,4.13744906334033,1772964,6.24870016230317,25.2938581945262,31.6087636297184,39.3464841925724,52.7447821839586,13699,4.13672056715641,1770918,6.24819869746477,99.8846000257196,25.3230810235144,31.6452822773274,39.3919424840676,52.7842057057413,23,1.38021124171161,2046,3.31111784266251,0.115399974280358,100,23,1.38021124171161,2046,3.31111784266251,0.115399974280358,100,FALSE
MM_4cell_2_A,4cell,14451,4.15992795289598,1864798,6.27063202762181,25.0632508185873,31.6986611954753,39.8315528008932,53.7236204672034,14429,4.15926633109349,1862676,6.27013755200874,99.8862075141651,25.0918034054232,31.7347729825262,39.876929750531,53.7676976564899,22,1.36172783601759,2122,3.326949994166,0.113792485834927,100,22,1.36172783601759,2122,3.326949994166,0.113792485834927,100,FALSE
MM_4cell_2_B,4cell,14392,4.1581513253927,1990318,6.29892268889053,23.4146503222098,29.9822440434142,38.2674024954806,52.1841233410942,14370,4.15748698938485,1988086,6.29843538549047,99.8878571163,23.4409376656744,30.0159047445634,38.310364843372,52.2230929647913,22,1.36172783601759,2232,3.34888872307144,0.112142883699992,100,22,1.36172783601759,2232,3.34888872307144,0.112142883699992,100,FALSE
MM_4cell_2_C,4cell,13981,4.14556929779299,1854362,6.26819475325275,22.4355330836158,28.9335631338433,37.0659558381805,51.1132669888619,13956,4.14479207849771,1852480,6.26775376232614,99.8985095682504,22.4583261357747,28.9629577647262,37.1036124546554,51.1532648125756,25,1.41497334797082,1882,3.27485032001666,0.101490431749572,100,25,1.41497334797082,1882,3.27485032001666,0.101490431749572,100,FALSE
MM_4cell_2_D,4cell,14127,4.15008068623349,1931597,6.28591674705477,24.4129080755458,30.9388552581103,38.9556931388897,52.6211212794387,14107,4.14946545099545,1929756,6.28550262496459,99.9046902640665,24.4361981514761,30.968371130858,38.9928571280514,52.6690420965137,20,1.32221929473392,1841,3.26528962586083,0.0953097359335306,100,20,1.32221929473392,1841,3.26528962586083,0.0953097359335306,100,FALSE
MM_4cell_3_A,4cell,13969,4.14519640611418,1739914,6.24052803222935,23.9442294274315,29.8764191793387,37.6800232655177,51.4147250956082,13944,4.14441851860207,1738218,6.24010449276843,99.9025239178488,23.9675920971938,29.9055699572781,37.7167881128834,51.4640856325271,25,1.41497334797082,1696,3.22968184231768,0.0974760821511868,100,25,1.41497334797082,1696,3.22968184231768,0.0974760821511868,100,FALSE
MM_4cell_3_B,4cell,14076,4.148510110611,1442764,6.15919559823516,22.2568625222143,28.3084412973986,35.9974327055568,49.8764870761954,14052,4.14776904626015,1441803,6.15890622605335,99.933391739744,22.2716973123235,28.3273096255175,36.021425950702,49.9097310797661,24,1.39794000867204,961,2.98317507203781,0.0666082602560086,100,24,1.39794000867204,961,2.98317507203781,0.0666082602560086,100,FALSE
MM_4cell_3_C,4cell,13578,4.13286778831908,1286683,6.10947190051192,22.8600984080772,28.9319902415747,36.7803103017604,50.7573349457481,13557,4.13219562957342,1285729,6.1091497774363,99.9258558634877,22.8770604069753,28.9534575326527,36.8076009796777,50.7949964572628,21,1.34242268082221,954,2.98000337158375,0.0741441365122567,100,21,1.34242268082221,954,2.98000337158375,0.0741441365122567,100,FALSE
MM_4cell_3_D,4cell,13702,4.13681565772685,1602692,6.20485034008663,26.3751238541155,32.6492551282467,40.6102981733234,54.5454148395325,13678,4.13605434955106,1600943,6.20437614084101,99.8908711093585,26.4039381789358,32.6849238230218,40.6546641573123,54.5885768575146,24,1.39794000867204,1749,3.24303804868629,0.109128890641496,100,24,1.39794000867204,1749,3.24303804868629,0.109128890641496,100,FALSE
EE_4cell_1_A,4cell,14087,4.14884934295922,2004168,6.30193434028544,24.3392270508261,30.4481959596202,38.2699953297328,51.6576454668471,14065,4.14817061307739,2001593,6.30137599050542,99.8715177569944,24.3705388657934,30.487366812334,38.3192287343131,51.6969234005115,22,1.36172783601759,2575,3.41094585868777,0.128482243005576,100,22,1.36172783601759,2575,3.41094585868777,0.128482243005576,100,FALSE
EE_4cell_1_B,4cell,14281,4.15478902873875,2257472,6.35362256473476,23.9037294814731,29.8855976951209,37.9570156351884,51.4617678535991,14258,4.15408906901442,2254169,6.35298666560444,99.8536858928926,23.9387552574807,29.9293886128325,38.0106815416235,51.5038579627348,23,1.38021124171161,3303,3.51904003864834,0.146314107107419,100,23,1.38021124171161,3303,3.51904003864834,0.146314107107419,100,FALSE
EE_4cell_1_C,4cell,12720,4.10452125261833,1251708,6.09750337489389,33.0005081057243,37.6155620959521,44.1404864393293,56.2115125891981,12696,4.10370111958951,1248358,6.09633949664328,99.7323656955136,33.0701609634416,37.6610715836323,44.182678366302,56.260223429497,24,1.39794000867204,3350,3.52517442783527,0.26763430448635,100,24,1.39794000867204,3350,3.52517442783527,0.26763430448635,100,FALSE
EE_4cell_1_D,4cell,13839,4.14113609012074,1391307,6.14342328232383,26.986998556034,32.2745447266491,39.5907589051158,52.7273994883947,13811,4.14025656967742,1389393,6.1428254190723,99.8624315122399,27.0241753053312,32.319005493766,39.6452983425136,52.7729735215306,28,1.46239799789896,1914,3.28216877830464,0.13756848776007,100,28,1.46239799789896,1914,3.28216877830464,0.13756848776007,100,FALSE
X8cell_1_A,8cell,12814,4.10771861052026,1669002,6.22245711731572,21.5591712891896,28.8746208812212,38.032009548221,52.990469753781,12793,4.10700634638154,1667044,6.22194732327606,99.882684382643,21.5844932707235,28.9085351076516,38.0766794397748,53.0349528866665,21,1.34242268082221,1958,3.29203443599474,0.117315617356959,100,21,1.34242268082221,1958,3.29203443599474,0.117315617356959,100,FALSE
X8cell_1_B,8cell,13351,4.12554632367119,1392197,6.14370100552764,18.3394304110697,25.0668547626521,33.6835232370132,48.5088676387034,13329,4.12483014941386,1391144,6.14337239916381,99.924364152487,18.3533120942189,25.085828641751,33.7090193394789,48.5455855037293,22,1.36172783601759,1053,3.02284061087653,0.0756358475129597,100,22,1.36172783601759,1053,3.02284061087653,0.0756358475129597,100,FALSE
X8cell_1_C,8cell,13413,4.12755830200463,1348946,6.129994886618,19.9893843044866,26.4482047465206,34.9942102945559,49.2621646826485,13385,4.12665082066748,1347599,6.12956100230908,99.9001442607784,20.0093648036248,26.4746411951923,35.0291889501254,49.3031680789315,28,1.46239799789896,1347,3.1296898921993,0.0998557392215848,100,28,1.46239799789896,1347,3.1296898921993,0.0998557392215848,100,FALSE
X8cell_1_D,8cell,13351,4.12554632367119,2328283,6.36703595368841,23.8312954224207,30.4513240014208,39.1914556778536,54.1010263786662,13328,4.12479756796053,2325128,6.36644705289651,99.8644924178032,23.8636324537832,30.4926438458442,39.2446351340657,54.1408472995895,23,1.38021124171161,3155,3.49913699453738,0.135507582196838,100,23,1.38021124171161,3155,3.49913699453738,0.135507582196838,100,FALSE
X8cell_1_E,8cell,12835,4.10842970842347,2832223,6.45212759863526,26.0348849649198,32.509551684313,41.2516599151974,56.0917343019953,12811,4.10761692999178,2826486,6.45124699232886,99.7974382666902,26.087728720397,32.5755372572162,41.2992670050374,56.1328094319236,24,1.39794000867204,5737,3.75876054390998,0.202561733309842,100,24,1.39794000867204,5737,3.75876054390998,0.202561733309842,100,FALSE
X8cell_1_F,8cell,13037,4.11521097670417,3019042,6.47986929869045,29.100820723925,35.6349133268103,43.9495376347861,58.3245281118977,13011,4.11434405460982,3010796,6.47868147462539,99.7268669995316,29.1805223601998,35.6968721892815,43.9931499842567,58.3616425689419,26,1.43136376415899,8246,3.91629599456313,0.27313300046836,100,26,1.43136376415899,8246,3.91629599456313,0.27313300046836,100,FALSE
X8cell_1_G,8cell,13780,4.13928073271852,1758346,6.24510458479596,24.71174615235,30.6546038151763,38.5179594914767,52.0728571054844,13759,4.13861843389949,1755829,6.24448246508037,99.8568541117618,24.7471707096762,30.6985475237053,38.5649741518109,52.1103706568236,21,1.34242268082221,2517,3.40105572577184,0.143145888238151,100,21,1.34242268082221,2517,3.40105572577184,0.143145888238151,100,FALSE
X8cell_1_H,8cell,13179,4.11991541025799,1269910,6.10377328507934,26.7134678835508,32.1855879550519,39.5762691844304,52.2123615059335,13157,4.11918988206117,1267917,6.10309116734772,99.8430597443913,26.7554579676745,32.2361794975539,39.6358752189615,52.2628847156399,22,1.36172783601759,1993,3.29972515397564,0.156940255608665,100,22,1.36172783601759,1993,3.29972515397564,0.156940255608665,100,FALSE
X8cell_2_A,8cell,13485,4.12988315534062,2295999,6.36097188372594,22.7411248872495,29.5105093686887,38.1405653922323,52.6561640488519,13463,4.12917410296777,2293250,6.36045159155907,99.880269982696,22.7683854791235,29.5458846615066,38.186285838875,52.6951706093971,22,1.36172783601759,2749,3.43933269383026,0.119730017304015,100,22,1.36172783601759,2749,3.43933269383026,0.119730017304015,100,FALSE
X8cell_2_B,8cell,13388,4.12674814156019,1554641,6.1916303963695,20.1074717571452,27.1100530604815,35.9747362896,50.3166325859153,13365,4.12600145678767,1553463,6.19130119336022,99.9242268793889,20.1227193695634,27.1306107709035,36.0020161407127,50.354787980145,23,1.38021124171161,1178,3.07151380509509,0.075773120611125,100,23,1.38021124171161,1178,3.07151380509509,0.075773120611125,100,FALSE
X8cell_2_C,8cell,13442,4.12849619863271,1280566,6.10740230593531,19.108581674041,26.0150589661134,34.455467348032,48.7287652491164,13422,4.12784959018764,1279705,6.10711020617641,99.9327641058719,19.1214381439472,26.0325621920677,34.4786493762234,48.7615505135949,20,1.32221929473392,861,2.93550726582471,0.0672358941280652,100,20,1.32221929473392,861,2.93550726582471,0.0672358941280652,100,FALSE
X8cell_2_D,8cell,13388,4.12674814156019,1932414,6.286100399955,23.5191837773893,30.0379214805937,38.1588003398858,52.3210347265131,13361,4.12587146741768,1929838,6.28552107878593,99.8666952319741,23.5505778205217,30.0780169112641,38.2097357394766,52.3625817296581,27,1.44715803134222,2576,3.4111144185509,0.133304768025899,100,27,1.44715803134222,2576,3.4111144185509,0.133304768025899,100,FALSE
X8cell_2_E,8cell,13376,4.12635872706927,2599932,6.41496215639189,27.0600538783322,33.2961400528937,41.7376685236383,55.880769189348,13349,4.12548126570059,2596490,6.41438682157498,99.867611922158,27.0959256534783,33.3402786068885,41.792997469661,55.9239588829535,27,1.44715803134222,3442,3.53693702270467,0.132388077842036,100,27,1.44715803134222,3442,3.53693702270467,0.132388077842036,100,FALSE
X8cell_2_F,8cell,13637,4.13475068610861,2469935,6.39268570013945,28.0573780281667,34.4507041683283,42.7781297888406,56.9579361400199,13613,4.13398574626858,2465117,6.39183771287179,99.8049341379429,28.1122153634087,34.5150351889991,42.8228355895481,56.9920616343971,24,1.39794000867204,4818,3.68295692630121,0.195065862057099,100,24,1.39794000867204,4818,3.68295692630121,0.195065862057099,100,FALSE
X8cell_2_G,8cell,13215,4.12110002997631,1905151,6.27992963099736,24.8293704803451,31.1204728654054,39.3227623427224,53.4724544143745,13193,4.12037647974443,1902097,6.27923288892253,99.839697745743,24.869236426954,31.1704397830395,39.3812723536181,53.5212978097331,22,1.36172783601759,3054,3.48501121457857,0.160302254257012,100,22,1.36172783601759,3054,3.48501121457857,0.160302254257012,100,FALSE
X8cell_2_H,8cell,13462,4.12914184579229,2007441,6.30264300628256,23.1000562407563,29.7901158738912,38.6168759131651,53.5475762425894,13438,4.12836695393808,2005308,6.30218130296872,99.8937453205349,23.1246272393069,29.8218029350105,38.6579517959336,53.5864316105057,24,1.39794000867204,2133,3.32919441508845,0.10625467946505,100,24,1.39794000867204,2133,3.32919441508845,0.10625467946505,100,FALSE
X16cell_A,16cell,10953,4.03957273659277,630341,5.79957624534637,40.1090838133645,44.6471037105313,50.3086424649515,60.0124377122859,10932,4.03873934810475,628498,5.79830459101986,99.707618574708,40.2266992098622,44.7584558741635,50.4111389375941,60.0700400001273,21,1.34242268082221,1843,3.26576091671761,0.292381425292024,100,21,1.34242268082221,1843,3.26576091671761,0.292381425292024,100,FALSE
X16cell_B,16cell,11368,4.05572226648358,1222055,6.08709110765264,27.7487510791249,33.7711477797644,41.1603405738694,53.85395910986,11340,4.05465135044174,1218071,6.0856729601183,99.6739917597817,27.8395101763362,33.8473701450901,41.2218171190349,53.9109789166641,28,1.46239799789896,3984,3.60042832573213,0.326008240218321,100,28,1.46239799789896,3984,3.60042832573213,0.326008240218321,100,FALSE
X16cell_C,16cell,12809,4.10754912974469,1681172,6.22561240652661,27.8082195040127,33.6226751337757,41.2349836899496,53.7954474616518,12785,4.10673470009785,1676432,6.22438620118164,99.718053833873,27.8863681914924,33.6678135468662,41.2661533542667,53.8129193429856,24,1.39794000867204,4740,3.67586995531896,0.281946166126964,100,24,1.39794000867204,4740,3.67586995531896,0.281946166126964,100,FALSE
X16cell_D,16cell,13279,4.123198075032,1776262,6.24950726943383,28.7186800145474,34.3306336565214,41.7165373126262,54.2966071446667,13253,4.12234696625508,1771925,6.24844558072105,99.7558355693023,28.788972445222,34.3793332110558,41.7518800174951,54.3322657561691,26,1.43136376415899,4337,3.63728954767817,0.244164430697724,100,26,1.43136376415899,4337,3.63728954767817,0.244164430697724,100,FALSE
X16cell_E,16cell,13554,4.1320995219165,1371872,6.13731390878173,29.1275716684939,34.9380991812647,42.2172768304915,54.6131854866926,13531,4.13136198911594,1368853,6.13635712937892,99.7799357374449,29.1918124152119,35.0017131130954,42.2604180288168,54.6532023526266,23,1.38021124171161,3019,3.48000694295715,0.220064262555107,100,23,1.38021124171161,3019,3.48000694295715,0.220064262555107,100,FALSE
